V1	V2	V3	V4	V5
461	143	152	349	646	4.48879942252345
462	143	241	349	1984	4.48876807500136
463	6	146	349	754	4.48876769245316
464	349	668	1083	2463	4.48861494688116
465	143	349	1096	1482	4.48839744311066
466	143	203	349	415	4.48837954661495
467	143	349	1096	1204	4.48834398201007
468	146	310	349	668	4.48826401523772
469	143	349	1083	1592	4.48813323996025
470	6	143	287	349	4.48808053115257
471	143	310	349	1096	4.48800170422928
472	6	143	349	4611	4.48788603115257
473	146	152	349	3342	4.48782497378147
474	6	146	349	1892	4.48782353041527
475	143	280	349	719	4.48781080438487
476	6	143	349	913	4.48770753115257
477	143	349	668	1653	4.4876824093955
478	143	152	349	3521	4.48763917518411
479	146	152	349	1892	4.48753120987498
480	146	280	349	2213	4.48732262399342
481	143	152	309	349	4.48722317518411
482	152	168	222	349	4.48719613069745
483	146	152	349	1669	4.48697082265786
484	6	143	319	349	4.48688603115257
485	6	168	349	1995	4.486819164483
486	152	168	349	1096	4.48674743649718
487	241	349	668	2463	4.48672512689374
